id,max_quality,cost,capital,pur,price,period,lag_price,lag_qv,lag_pur,lag_capital,diff_price,diff_qv,diff_pur,diff_capital
31,21.0,27.99,911.88,0,28.99,4,98.17,17.0,0.0,243.61,-69.18,4.0,0.0,668.27
32,17.0,26.74,508.62,0,27.74,4,55.71,13.0,0.0,807.96,-27.970000000000002,4.0,0.0,-299.34000000000003
33,35.0,96.18,772.8600000000001,8,97.18,4,84.23,19.0,0.0,916.45,12.950000000000003,16.0,8.0,-143.58999999999992
34,15.0,67.68,667.3,0,68.68,4,39.44,5.0,0.0,838.4,29.24000000000001,10.0,0.0,-171.10000000000002
35,24.0,30.54,771.88,0,31.54,4,78.36,18.0,0.0,667.33,-46.82,6.0,0.0,104.54999999999995
36,9.0,39.91,503.36,0,40.91,4,36.63,24.0,0.0,1651.95,4.279999999999994,-15.0,0.0,-1148.5900000000001
37,24.0,56.14,1157.03,0,57.14,4,13.95,20.0,0.0,1543.37,43.19,4.0,0.0,-386.3399999999999
38,16.0,60.71,1004.06,0,61.71,4,79.51,4.0,0.0,755.73,-17.800000000000004,12.0,0.0,248.32999999999993
39,14.0,56.55,918.96,0,57.55,4,88.09,15.0,0.0,517.56,-30.540000000000006,-1.0,0.0,401.4000000000001
40,21.0,75.44,680.68,0,76.44,4,34.78,3.0,0.0,716.41,41.66,18.0,0.0,-35.73000000000002
41,1.0,31.33,632.43,0,32.33,4,42.84,10.0,0.0,1048.04,-10.510000000000005,-9.0,0.0,-415.61
42,12.0,58.24,730.25,0,59.24,4,17.83,28.0,876.0,4028.75,41.410000000000004,-16.0,-876.0,-3298.5
